tanggal,tweet,skor,label,tweet_baku,tweet_tokens,stemmed,detoken_stem,rand
1/14/2021 9:01,b'\xe2\x80\x9cah gamau pake vaksin ah\xe2\x80\x9d\n\nproceed to ngerokok tiga bungkus \n\nwth\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',-1,negatif,tidak mau pakai vaksin ah tetap merokok tiga bungkus saja,"['tidak', 'mau', 'pakai', 'vaksin', 'ah', 'tetap', 'merokok', 'tiga', 'bungkus', 'saja']","['tidak', 'mau', 'pakai', 'vaksin', 'ah', 'tetap', 'rokok', 'tiga', 'bungkus', 'saja']",tidak mau pakai vaksin ah tetap rokok tiga bungkus saja,0.802728796
1/14/2021 16:15,b'@marzukialie_MA Saya pilih tidak di vaksin dan berteman dengan yang sudah di vaksin jadi Aman',-1,negatif,saya pilih tidak divaksin dan berteman dengan yang sudah divaksin jadi aman,"['saya', 'pilih', 'tidak', 'divaksin', 'dan', 'berteman', 'dengan', 'yang', 'sudah', 'divaksin', 'jadi', 'aman']","['saya', 'pilih', 'tidak', 'vaksin', 'dan', 'teman', 'dengan', 'yang', 'sudah', 'vaksin', 'jadi', 'aman']",saya pilih tidak vaksin dan teman dengan yang sudah vaksin jadi aman,0.161436468
1/14/2021 19:42,b'persetan buat orang yg gamau di vaksin',-1,negatif,persetan buat orang yang tidak mau divaksin,"['persetan', 'buat', 'orang', 'yang', 'tidak', 'mau', 'divaksin']","['persetan', 'buat', 'orang', 'yang', 'tidak', 'mau', 'vaksin']",persetan buat orang yang tidak mau vaksin,0.576607328
1/12/2021 4:23,"b'RT @alexander_murfi: Meski Ditodong Pistol dan Dipecat, dr Tifauzia Tak Izinkan Vaksin Corona Selain Vaksin Merah Putih\n\nWHO: Vaksinasi ada\xe2\x80\xa6'",-1,negatif,meski ditodong pistol dan dipecat tak izinkan vaksin corona selain vaksin merah putih vaksinasi ada,"['meski', 'ditodong', 'pistol', 'dan', 'dipecat', 'tak', 'izinkan', 'vaksin', 'corona', 'selain', 'vaksin', 'merah', 'putih', 'vaksinasi', 'ada']","['meski', 'todong', 'pistol', 'dan', 'pecat', 'tak', 'izin', 'vaksin', 'corona', 'selain', 'vaksin', 'merah', 'putih', 'vaksinasi', 'ada']",meski todong pistol dan pecat tak izin vaksin corona selain vaksin merah putih vaksinasi ada,0.808251719
1/14/2021 11:11,b'@denismalhotra cina sendiri tida mengonsumsi vaksin buatan mereka . simpulannya seperti beli barang sampah tapi pak\xe2\x80\xa6 https://t.co/cxVnJxHZ96',-1,negatif,cina sendiri tidak konsumsi vaksin buatan mereka kesimpulannya seperti beli barang sampah tapi pak,"['cina', 'sendiri', 'tidak', 'konsumsi', 'vaksin', 'buatan', 'mereka', 'kesimpulannya', 'seperti', 'beli', 'barang', 'sampah', 'tapi', 'pak']","['cina', 'sendiri', 'tidak', 'konsumsi', 'vaksin', 'buat', 'mereka', 'simpul', 'seperti', 'beli', 'barang', 'sampah', 'tapi', 'pak']",cina sendiri tidak konsumsi vaksin buat mereka simpul seperti beli barang sampah tapi pak,0.765920844
1/14/2021 16:43,b'kenapa orang-orang mlesetin vaksin jadi vakshit si. padahal enakan fucksin hhhhh',-1,negatif,kenapa orangorang melesetkan vaksin jadi vakshit ya padahal enakan fucksin,"['kenapa', 'orangorang', 'melesetkan', 'vaksin', 'jadi', 'vakshit', 'ya', 'padahal', 'enakan', 'fucksin']","['kenapa', 'orangorang', 'meleset', 'vaksin', 'jadi', 'vakshit', 'ya', 'padahal', 'enak', 'fucksin']",kenapa orangorang meleset vaksin jadi vakshit ya padahal enak fucksin,0.743571162
1/15/2021 4:05,b'@Agamajinasi Intinya vaksin sinovac ini sia sia jin?',-1,negatif,intinya vaksin sinovac ini siasia jin,"['intinya', 'vaksin', 'sinovac', 'ini', 'siasia', 'jin']","['inti', 'vaksin', 'sinovac', 'ini', 'siasia', 'jin']",inti vaksin sinovac ini siasia jin,0.715237881
1/12/2021 17:39,b'RT @AAhhsya: Yang nolak di vaksin :\nsudah pasti tdk akan kebal Hukum\n\nYg mau di vaksin :\nBlm tentu kebal virus\n\nGk sportive banget aturan l\xe2\x80\xa6',-1,negatif,yang menolak divaksin sudah pasti tidak akan kebal hukum yang mau divaksin belum tentu kebal virus,"['yang', 'menolak', 'divaksin', 'sudah', 'pasti', 'tidak', 'akan', 'kebal', 'hukum', 'yang', 'mau', 'divaksin', 'belum', 'tentu', 'kebal', 'virus']","['yang', 'tolak', 'vaksin', 'sudah', 'pasti', 'tidak', 'akan', 'kebal', 'hukum', 'yang', 'mau', 'vaksin', 'belum', 'tentu', 'kebal', 'virus']",yang tolak vaksin sudah pasti tidak akan kebal hukum yang mau vaksin belum tentu kebal virus,0.638424326
1/15/2021 0:26,"b'aku kolot bgt ya, karna jelas vaksin nya dri cina jdi rada takut juga'",-1,negatif,aku kolot sekali ya karna jelas vaksinnya dari cina jadi takut juga,"['aku', 'kolot', 'sekali', 'ya', 'karna', 'jelas', 'vaksinnya', 'dari', 'cina', 'jadi', 'takut', 'juga']","['aku', 'kolot', 'sekali', 'ya', 'karna', 'jelas', 'vaksin', 'dari', 'cina', 'jadi', 'takut', 'juga']",aku kolot sekali ya karna jelas vaksin dari cina jadi takut juga,0.11033016
1/12/2021 0:39,b'RT @H4tun_27: Maaaaaakkkkk muka aku gosong abis disuntik vaksin \xf0\x9f\x98\x90\xf0\x9f\x98\x90\n\n#TolakDivaksinSinovac \n#tolakvaksin https://t.co/ESLwpxN7u1',-1,negatif,mama muka aku gosong habis disuntik vaksin,"['mama', 'muka', 'aku', 'gosong', 'habis', 'disuntik', 'vaksin']","['mama', 'muka', 'aku', 'gosong', 'habis', 'suntik', 'vaksin']",mama muka aku gosong habis suntik vaksin,0.065891599
1/14/2021 9:36,b'@dimasaitu_ Percuma vaksin. Kalo jomblooooooo. Mau deket2an sama sapah bang',-1,negatif,percuma vaksin kalau jomblo,"['percuma', 'vaksin', 'kalau', 'jomblo']","['percuma', 'vaksin', 'kalau', 'jomblo']",percuma vaksin kalau jomblo,0.937767069
1/12/2021 3:16,"b'RT @DimitriJafar: Asal Tahu Saja, Kamboja Tolak Vaksin Sinovac karena Ogah jadi Kelinci Percobaan China\nhttps://t.co/vh2tOQc06Z\n\nCovid-19:\xe2\x80\xa6'",-1,negatif,asal tahu saja kamboja tolak vaksin sinovac karena tidak mau jadi kelinci percobaan cina covid,"['asal', 'tahu', 'saja', 'kamboja', 'tolak', 'vaksin', 'sinovac', 'karena', 'tidak', 'mau', 'jadi', 'kelinci', 'percobaan', 'cina', 'covid']","['asal', 'tahu', 'saja', 'kamboja', 'tolak', 'vaksin', 'sinovac', 'karena', 'tidak', 'mau', 'jadi', 'kelinci', 'coba', 'cina', 'covid']",asal tahu saja kamboja tolak vaksin sinovac karena tidak mau jadi kelinci coba cina covid,0.985282776
1/12/2021 15:02,b'RT @HAlthoriq: @geloraco Vaksin membingungkan...di tambah lagi yg ngomong YAQUT..... lebih baik minum YAKULT..... lebih sehat dari sana nya\xe2\x80\xa6',-1,negatif,vaksin membingungkan ditambah lagi yang omong lebih baik minum yakult lebih sehat dari sananya,"['vaksin', 'membingungkan', 'ditambah', 'lagi', 'yang', 'omong', 'lebih', 'baik', 'minum', 'yakult', 'lebih', 'sehat', 'dari', 'sananya']","['vaksin', 'bingung', 'tambah', 'lagi', 'yang', 'omong', 'lebih', 'baik', 'minum', 'yakult', 'lebih', 'sehat', 'dari', 'sana']",vaksin bingung tambah lagi yang omong lebih baik minum yakult lebih sehat dari sana,0.881624753
1/14/2021 12:11,b'@RinoHidayatGM @DonAdam68 KONTOL lah. Aku menolak Vaksin China \xf0\x9f\xa4\xaa',-1,negatif,kontol lah aku menolak vaksin cina,"['kontol', 'lah', 'aku', 'menolak', 'vaksin', 'cina']","['kontol', 'lah', 'aku', 'tolak', 'vaksin', 'cina']",kontol lah aku tolak vaksin cina,0.261139295
1/12/2021 23:41,"b'RT @Ibu__Deeydeey: dr. Tifauzia : Biar Ditodong Pistol Saya tidak Mau Divaksin Gunakan Sinovac, Saya Mau Vaksin Merah Putih. TITIK...!!!\n\nh\xe2\x80\xa6'",-1,negatif,biar ditodong pistol saya tidak mau divaksin menggunakan sinovac saya mau vaksin merah putih titik,"['biar', 'ditodong', 'pistol', 'saya', 'tidak', 'mau', 'divaksin', 'menggunakan', 'sinovac', 'saya', 'mau', 'vaksin', 'merah', 'putih', 'titik']","['biar', 'todong', 'pistol', 'saya', 'tidak', 'mau', 'vaksin', 'guna', 'sinovac', 'saya', 'mau', 'vaksin', 'merah', 'putih', 'titik']",biar todong pistol saya tidak mau vaksin guna sinovac saya mau vaksin merah putih titik,0.708047288
1/12/2021 22:33,b'RT @nanadehoney: Ibu menyusui nggak kena vaksin \xf0\x9f\x92\x83\xf0\x9f\x92\x83\xf0\x9f\x92\x83\xf0\x9f\x92\x83 kan ogut lega..',-1,negatif,ibu menyusui tidak kena vaksin kan lega,"['ibu', 'menyusui', 'tidak', 'kena', 'vaksin', 'kan', 'lega']","['ibu', 'susu', 'tidak', 'kena', 'vaksin', 'kan', 'lega']",ibu susu tidak kena vaksin kan lega,0.280311842
1/12/2021 12:58,"b'RT @kharimakharima1: Anak pekai aja ogah di vaksin covid-19 ,masak kita mau ..??! https://t.co/kdP2tsJ42w'",-1,negatif,anak pki saja tidak mau divaksin covid masa kita mau,"['anak', 'pki', 'saja', 'tidak', 'mau', 'divaksin', 'covid', 'masa', 'kita', 'mau']","['anak', 'pki', 'saja', 'tidak', 'mau', 'vaksin', 'covid', 'masa', 'kita', 'mau']",anak pki saja tidak mau vaksin covid masa kita mau,0.219649723
1/12/2021 7:54,b'RT @Aditya11278384: Gmn kalau kita laporan rame rame bahwa kita gak mau di VAKSIN https://t.co/trmZRr0J0M',-1,negatif,bagaimana kalau kita laporan ramai ramai bahwa kita tidak mau divaksin,"['bagaimana', 'kalau', 'kita', 'laporan', 'ramai', 'ramai', 'bahwa', 'kita', 'tidak', 'mau', 'divaksin']","['bagaimana', 'kalau', 'kita', 'lapor', 'ramai', 'ramai', 'bahwa', 'kita', 'tidak', 'mau', 'vaksin']",bagaimana kalau kita lapor ramai ramai bahwa kita tidak mau vaksin,0.833669653
1/12/2021 4:58,b'RT @HukumDan: Vaksin Covid menjadi ajang bisnis oleh negara yang punya otak bisnis. \nCina produksi vaksin dijual ke negara lain. \nCina Beli\xe2\x80\xa6',-1,negatif,vaksin covid menjadi ajang bisnis oleh negara yang punya otak bisnis cina produksi vaksin dijual ke negara lain,"['vaksin', 'covid', 'menjadi', 'ajang', 'bisnis', 'oleh', 'negara', 'yang', 'punya', 'otak', 'bisnis', 'cina', 'produksi', 'vaksin', 'dijual', 'ke', 'negara', 'lain']","['vaksin', 'covid', 'jadi', 'ajang', 'bisnis', 'oleh', 'negara', 'yang', 'punya', 'otak', 'bisnis', 'cina', 'produksi', 'vaksin', 'jual', 'ke', 'negara', 'lain']",vaksin covid jadi ajang bisnis oleh negara yang punya otak bisnis cina produksi vaksin jual ke negara lain,0.294149748
1/11/2021 12:31,"b'RT @OrdeFpi: Saya rasa cukup Jokowi saja yg menolak, karena dia adalah presiden republik Indonesia.\nJika presiden menolak, tentu seluruh rakyat akan ikut menolak\xe2\x80\xa6'",-1,negatif,saya rasa cukup jokowi saja yang menolak karena dia adalah presiden republik indonesia jika presiden menolak tentu seluruh rakyat akan ikut menolak,"['saya', 'rasa', 'cukup', 'jokowi', 'saja', 'yang', 'menolak', 'karena', 'dia', 'adalah', 'presiden', 'republik', 'indonesia', 'jika', 'presiden', 'menolak', 'tentu', 'seluruh', 'rakyat', 'akan', 'ikut', 'menolak']","['saya', 'rasa', 'cukup', 'jokowi', 'saja', 'yang', 'tolak', 'karena', 'dia', 'adalah', 'presiden', 'republik', 'indonesia', 'jika', 'presiden', 'tolak', 'tentu', 'seluruh', 'rakyat', 'akan', 'ikut', 'tolak']",saya rasa cukup jokowi saja yang tolak karena dia adalah presiden republik indonesia jika presiden tolak tentu seluruh rakyat akan ikut tolak,0.361341746
1/14/2021 13:11,b'@Ramonwibowo @lycalya Abangku gamau divaksin kenapa sih bang? Sepertinya aku juga belum tau mau vaksin apa nggak. B\xe2\x80\xa6 https://t.co/8Ai59PKG3M',-1,negatif,abangku tidak mau divaksin kenapa bang sepertinya aku juga belum tahu mau vaksin apa tidak,"['abangku', 'tidak', 'mau', 'divaksin', 'kenapa', 'bang', 'sepertinya', 'aku', 'juga', 'belum', 'tahu', 'mau', 'vaksin', 'apa', 'tidak']","['abang', 'tidak', 'mau', 'vaksin', 'kenapa', 'bang', 'seperti', 'aku', 'juga', 'belum', 'tahu', 'mau', 'vaksin', 'apa', 'tidak']",abang tidak mau vaksin kenapa bang seperti aku juga belum tahu mau vaksin apa tidak,0.669790518
1/14/2021 8:11,"b'@riifqymuhammad buat apa vaksin kalo masi harus pake masker, jaga jarak, psbb?'",-1,negatif,buat apa vaksin kalau masih harus pakai masker jaga jarak psbb,"['buat', 'apa', 'vaksin', 'kalau', 'masih', 'harus', 'pakai', 'masker', 'jaga', 'jarak', 'psbb']","['buat', 'apa', 'vaksin', 'kalau', 'masih', 'harus', 'pakai', 'masker', 'jaga', 'jarak', 'psbb']",buat apa vaksin kalau masih harus pakai masker jaga jarak psbb,0.561410401
1/14/2021 15:06,b'@hnurwahid Vaksin ga halal ..masih mau?..',-1,negatif,vaksin tidak halal masih mau,"['vaksin', 'tidak', 'halal', 'masih', 'mau']","['vaksin', 'tidak', 'halal', 'masih', 'mau']",vaksin tidak halal masih mau,0.759084754
1/12/2021 1:30,b'RT @abu_waras: #SayaPancasila\n#SayaMerahPutih\n#KamuSinovacAjah\n\ndr. Tifauzia : Biar Ditodong Pistol Saya tidak Mau Divaksin Gunakan Sinovac\xe2\x80\xa6',-1,negatif,biar ditodong pistol saya tidak mau divaksin gunakan sinovac,"['biar', 'ditodong', 'pistol', 'saya', 'tidak', 'mau', 'divaksin', 'gunakan', 'sinovac']","['biar', 'todong', 'pistol', 'saya', 'tidak', 'mau', 'vaksin', 'guna', 'sinovac']",biar todong pistol saya tidak mau vaksin guna sinovac,0.193956777
1/14/2021 11:04,"b'W tdk butuh suntikan vaksin,w butuh suntikan dana'",-1,negatif,aku tidak butuh suntikkan vaksin aku butuh suntikkan dana,"['aku', 'tidak', 'butuh', 'suntikkan', 'vaksin', 'aku', 'butuh', 'suntikkan', 'dana']","['aku', 'tidak', 'butuh', 'suntik', 'vaksin', 'aku', 'butuh', 'suntik', 'dana']",aku tidak butuh suntik vaksin aku butuh suntik dana,0.475535845
1/15/2021 0:35,b'@ferdiriva Oh ini toh efek samping vaksin \xf0\x9f\x98\xa2',-1,negatif,oh ini efek samping vaksin,"['oh', 'ini', 'efek', 'samping', 'vaksin']","['oh', 'ini', 'efek', 'samping', 'vaksin']",oh ini efek samping vaksin,0.031640691
1/15/2021 2:51,b'@marlina_idha Terus fungsi dr vaksin it sebenarnya apa sih..? Kalau emang gk efektif ngapain nyuruh rakyat buat di\xe2\x80\xa6 https://t.co/huFgWtFjlr',-1,negatif,terus fungsi dari vaksin itu sebenarnya apa sih kalau emang tidak efektif kenapa nyuruh rakyat buat divaksin,"['terus', 'fungsi', 'dari', 'vaksin', 'itu', 'sebenarnya', 'apa', 'sih', 'kalau', 'emang', 'tidak', 'efektif', 'kenapa', 'nyuruh', 'rakyat', 'buat', 'divaksin']","['terus', 'fungsi', 'dari', 'vaksin', 'itu', 'benar', 'apa', 'sih', 'kalau', 'emang', 'tidak', 'efektif', 'kenapa', 'nyuruh', 'rakyat', 'buat', 'vaksin']",terus fungsi dari vaksin itu benar apa sih kalau emang tidak efektif kenapa nyuruh rakyat buat vaksin,0.366049735
1/11/2021 2:05,b'RT @Asjtn: jangan terlena dengan gaungan vaksin karena bukan obat instant covid',-1,negatif,jangan terlena dengan gaungan vaksin karena bukan obat instant covid,"['jangan', 'terlena', 'dengan', 'gaungan', 'vaksin', 'karena', 'bukan', 'obat', 'instant', 'covid']","['jangan', 'lena', 'dengan', 'gaung', 'vaksin', 'karena', 'bukan', 'obat', 'instant', 'covid']",jangan lena dengan gaung vaksin karena bukan obat instant covid,0.775185519
1/14/2021 15:05,"b'..vaksin tidak perlu dilakukan, yg penting melakukan Prokes yg benar\n\nKalau urusan vaksinasi presiden itu sudah cle\xe2\x80\xa6 https://t.co/kCDqtkN0WO'",-1,negatif,vaksin tidak perlu dilakukan yang penting melakukan protokol kesehatan yang benar,"['vaksin', 'tidak', 'perlu', 'dilakukan', 'yang', 'penting', 'melakukan', 'protokol', 'kesehatan', 'yang', 'benar']","['vaksin', 'tidak', 'perlu', 'laku', 'yang', 'penting', 'laku', 'protokol', 'sehat', 'yang', 'benar']",vaksin tidak perlu laku yang penting laku protokol sehat yang benar,0.101760544
1/14/2021 17:27,"b'@kopiganja Kan udh di vaksin ngeteslahh bener apa ngganya, adanya corona ini, percuma kan lu di vaksin tapi masih t\xe2\x80\xa6 https://t.co/9eYpyLSZjw'",-1,negatif,kan sudah divaksin tes lah benar atau tidaknya adanya corona ini percuma kan kita divaksin tapi masih bisa terkena corona,"['kan', 'sudah', 'divaksin', 'tes', 'lah', 'benar', 'atau', 'tidaknya', 'adanya', 'corona', 'ini', 'percuma', 'kan', 'kita', 'divaksin', 'tapi', 'masih', 'bisa', 'terkena', 'corona']","['kan', 'sudah', 'vaksin', 'tes', 'lah', 'benar', 'atau', 'tidak', 'ada', 'corona', 'ini', 'percuma', 'kan', 'kita', 'vaksin', 'tapi', 'masih', 'bisa', 'kena', 'corona']",kan sudah vaksin tes lah benar atau tidak ada corona ini percuma kan kita vaksin tapi masih bisa kena corona,0.821203594
1/14/2021 10:11,"b'Sejauh ini belum butuh vaksin. butuhnya Vitamin D, Duit \xf0\x9f\x98\x8a'",-1,negatif,sejauh ini belum butuh vaksin butuhnya vitamin pada duit,"['sejauh', 'ini', 'belum', 'butuh', 'vaksin', 'butuhnya', 'vitamin', 'pada', 'duit']","['jauh', 'ini', 'belum', 'butuh', 'vaksin', 'butuh', 'vitamin', 'pada', 'duit']",jauh ini belum butuh vaksin butuh vitamin pada duit,0.970179356
1/14/2021 9:01,b'\xe2\x80\x9cah gamau pake vaksin ah\xe2\x80\x9d\n\nproceed to ngerokok tiga bungkus \n\nwth\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',-1,negatif,tidak mau pakai vaksin ah tetap merokok tiga bungkus saja,"['tidak', 'mau', 'pakai', 'vaksin', 'ah', 'tetap', 'merokok', 'tiga', 'bungkus', 'saja']","['tidak', 'mau', 'pakai', 'vaksin', 'ah', 'tetap', 'rokok', 'tiga', 'bungkus', 'saja']",tidak mau pakai vaksin ah tetap rokok tiga bungkus saja,0.76872766
1/12/2021 0:15,b'RT @cantik_tara: Sy sbg org awam.... tdk pernah mdengar tuch vaksin tsb sdh dicobakan pd hewan selama sekian tahun.....\n\n#TolakDivaksinSino\xe2\x80\xa6',-1,negatif,saya sebagai orang awam tidak pernah mendengar tuh vaksin tersebut sudah dicobakan pada hewan selama sekian tahun,"['saya', 'sebagai', 'orang', 'awam', 'tidak', 'pernah', 'mendengar', 'tuh', 'vaksin', 'tersebut', 'sudah', 'dicobakan', 'pada', 'hewan', 'selama', 'sekian', 'tahun']","['saya', 'bagai', 'orang', 'awam', 'tidak', 'pernah', 'dengar', 'tuh', 'vaksin', 'sebut', 'sudah', 'coba', 'pada', 'hewan', 'lama', 'sekian', 'tahun']",saya bagai orang awam tidak pernah dengar tuh vaksin sebut sudah coba pada hewan lama sekian tahun,0.589341564
1/14/2021 7:44,b'@Kiiiyukiyu @bernicaytrr @RieskaAmelia4 Gw gak butuh vaksin jadi jangan di denda ya\xf0\x9f\xa5\xb0',-1,negatif,aku tidak perlu vaksin jadi jangan didenda ya,"['aku', 'tidak', 'perlu', 'vaksin', 'jadi', 'jangan', 'didenda', 'ya']","['aku', 'tidak', 'perlu', 'vaksin', 'jadi', 'jangan', 'denda', 'ya']",aku tidak perlu vaksin jadi jangan denda ya,0.36774273
1/14/2021 7:43,"b'@Raraaza0 Ngobrol ttng corona, ttng vaksin mendingin turun saja tuh para menteri kabinetnya kalo dibisniskan  rakya\xe2\x80\xa6 https://t.co/in3qT2WPMY'",-1,negatif,bicara tentang corona tentang vaksin mendingan turun saja tuh para menteri kabinetnya kalau dibisniskan rakyat,"['bicara', 'tentang', 'corona', 'tentang', 'vaksin', 'mendingan', 'turun', 'saja', 'tuh', 'para', 'menteri', 'kabinetnya', 'kalau', 'dibisniskan', 'rakyat']","['bicara', 'tentang', 'corona', 'tentang', 'vaksin', 'mending', 'turun', 'saja', 'tuh', 'para', 'menteri', 'kabinet', 'kalau', 'bisnis', 'rakyat']",bicara tentang corona tentang vaksin mending turun saja tuh para menteri kabinet kalau bisnis rakyat,0.32441921
1/14/2021 9:42,"b'@AchiAja_ @mdmmoi @cumikuah_ @tubirfess Tapi government goblok, mau sosialisasi ngancem, denda, apalah itu mana ada\xe2\x80\xa6 https://t.co/kPp4hi9Emq'",-1,negatif,tapi pemerintahan bodoh mau sosialisasi mengancam memberlakukan denda apalah itu,"['tapi', 'pemerintahan', 'bodoh', 'mau', 'sosialisasi', 'mengancam', 'memberlakukan', 'denda', 'apalah', 'itu']","['tapi', 'perintah', 'bodoh', 'mau', 'sosialisasi', 'ancam', 'laku', 'denda', 'apa', 'itu']",tapi perintah bodoh mau sosialisasi ancam laku denda apa itu,0.285636568
