,tanggal,tweet,label,tweet_baku,detoken_stem
15,1/13/2021 6:56,"b'Maap lata aja ya, says kok gak ngerti kenapa faksinnya gratis, tapi punya krlas harga yang berbeda... \xe2\x80\xa6 https://t.co/sDT35bJJvO'",negatif,maaf latah saja ya saya kok tidak mengerti kenapa vaksinnya gratis tapi punya kelas harga yang berbeda,maaf latah saja ya saya kok tidak erti kenapa vaksin gratis tapi punya kelas harga yang beda
16,1/10/2021 11:27,b'Malah ngga mau di vaksin lah.  Sia sia',negatif,malah tidak mau divaksin lah sia sia,malah tidak mau vaksin lah sia sia
17,1/11/2021 6:11,b'Mereka saja tdk mau pake vaksin. Kok kita di paksa pake vaksin?',negatif,mereka saja tidak mau pakai vaksin kok kita dipaksa pakai vaksin,mereka saja tidak mau pakai vaksin kok kita paksa pakai vaksin
18,1/13/2021 8:32,"b'Miris liat orang yang Bisnis dengan covid-19 ini itu ini itu, semoga mencrettt 7 turunan.\n#vaksincovid19'",negatif,miris liat orang yang bisnis dengan covid ini itu ini itu semoga mencret turunan,miris liat orang yang bisnis dengan covid ini itu ini itu moga mencret turun
19,1/13/2021 3:33,b'om @Dennysiregar7 dah sarapan belum yaa ??\n.\nDenny Siregar gak mau ikutan suntik vaksin seperti pak presiden jokowi\xe2\x80\xa6 https://t.co/aoMUeeNx6S',negatif,tidak mau ikut suntik vaksin seperti pak presiden jokowi,tidak mau ikut suntik vaksin seperti pak presiden jokowi
20,1/12/2021 10:30,b'RT @_4n93l: D tambah lagi ada ancaman denda buat warga yang menolak d vaksin \n#TolakDivaksinSinovac \n#TolakDivaksinSinovac',negatif,ditambah lagi ada ancaman denda buat warga yang menolak divaksin,tambah lagi ada ancam denda buat warga yang tolak vaksin
21,1/12/2021 0:31,b'RT @_4ngel05: Sekali aja masih pada takut ..\nIni harus dua kali..knp g d sempurnakan dulu aja ya..\nCukup sekali \xe2\x80\xa6',negatif,sekali saja masih pada takut ini harus dua kali kenapa tidak disempurnakan dulu saja agar cukup sekali,sekali saja masih pada takut ini harus dua kali kenapa tidak sempurna dulu saja agar cukup sekali
22,1/12/2021 0:29,b'RT @_z3l1n3_: Siapa sih yg di untungkan...dari vaksin ini..yg jelas pemaksaan terhadap rakyat!!!\n\n#TolakDivaksinSinovac \n#TolakDivaksinSino\xe2\x80\xa6',negatif,siapa yang diuntungkan dari vaksin ini yang jelas pemaksaan terhadap rakyat,siapa yang untung dari vaksin ini yang jelas paksa hadap rakyat
23,1/12/2021 0:12,"b'RT @_z3l1n3_: Tolak vaksin corona, sanksi penjara setahun dan denda Rp 100 juta menanti.\n\n@KemenkesRI\n@BPOM_RI\n\n#TolakDivaksinSinovac\n#Tola\xe2\x80\xa6'",negatif,tolak vaksin corona sanksi penjara setahun dan denda rupiah juta menanti,tolak vaksin corona sanksi penjara tahun dan denda rupiah juta nanti
24,1/11/2021 9:47,b'RT @03_malikha0528: Vaksin Sinovac efikasinya 65.32% versi BPOM Dgn kata lain tingkat kegagalan msh besar dr keberhasilanÂ',negatif,vaksin sinovac efikasinya versi bpom dengan kata lain tingkat kegagalan masih besar dari keberhasilan,vaksin sinovac efikasinya versi bpom dengan kata lain tingkat gagal masih besar dari hasil
25,1/11/2021 6:24,b'RT @Aan_Hantorov: Masih ragu2 soal vaksin?]]\\\\\\',negatif,masih ragu soal vaksin,masih ragu soal vaksin
26,1/12/2021 1:30,b'RT @abu_waras: #SayaPancasila\n#SayaMerahPutih\n#KamuSinovacAjah\n\ndr. Tifauzia : Biar Ditodong Pistol Saya tidak Mau Divaksin Gunakan Sinovac\xe2\x80\xa6',negatif,biar ditodong pistol saya tidak mau divaksin gunakan sinovac,biar todong pistol saya tidak mau vaksin guna sinovac
27,1/11/2021 12:51,b'RT @AbuwaPase: ATJEH TIDAK PERLU VAKSIN......\nATJEH MERDEKA IDAMAN KAMI..!\n#Letdjawa https://t.co/eUbAunA1GC',negatif,aceh tidak perlu vaksin aceh merdeka idaman kami,aceh tidak perlu vaksin aceh merdeka idam kami
28,1/11/2021 3:00,b'RT @ad3ira29: bukan hanya masyarakat aja yg menolak vaksin covid 19 tetapi jg paramedis',negatif,bukan hanya masyarakat saja yang menolak vaksin covid tetapi juga paramedis,bukan hanya masyarakat saja yang tolak vaksin covid tetapi juga paramedis
29,1/12/2021 7:54,b'RT @Aditya11278384: Gmn kalau kita laporan rame rame bahwa kita gak mau di VAKSIN https://t.co/trmZRr0J0M',negatif,bagaimana kalau kita laporan ramai ramai bahwa kita tidak mau divaksin,bagaimana kalau kita lapor ramai ramai bahwa kita tidak mau vaksin
30,1/11/2021 0:28,b'RT @aewin86: Jadi Partai Demokrat ikut pak SBY gak percaya vaksin tidak bisa menekan penyebaran Covid19? Gimana kalau anggota PD gak usah divaksin\xe2\x80\xa6',negatif,jadi partai demokrat ikut pak sby tidak percaya vaksin bisa menekan penyebaran covid bagaimana kalau anggota pada tidak usah divaksin,jadi partai demokrat ikut pak sby tidak percaya vaksin bisa tekan sebar covid bagaimana kalau anggota pada tidak usah vaksin
31,1/11/2021 9:47,b'RT @airman673: @OposisiCerdas pemerintah itu harus melayani kebutuhan kesehatan..bukan mewajibkan vaksin dan main ancam. sy semakin curiga\xe2\x80\xa6',negatif,pemerintah itu harus melayani kebutuhan kesehatan bukan mewajibkan vaksin dan main ancam saya semakin curiga,perintah itu harus layan butuh sehat bukan wajib vaksin dan main ancam saya makin curiga
32,1/12/2021 21:55,b'RT @akhwatelya: @panca66 jujur saya jg takut d vaksin china \nSoale ini vaksin baru blm ada satu negarapun yg testimoni nya berhasil tekan pandemi\xe2\x80\xa6',negatif,jujur saya juga takut divaksin cina soalnya ini vaksin baru belum ada satu negara pun yang testimoninya berhasil tekan pandemi,jujur saya juga takut vaksin cina soal ini vaksin baru belum ada satu negara pun yang testimoninya hasil tekan pandemi
33,1/11/2021 9:13,"b'RT @AlMaidah_54: @CNNIndonesia Kalau ada warga cacat permanen/meninggal alibat disuntik vaksin, pejabat mana yg masuk penjara @Kemenkumham_\xe2\x80\xa6'",negatif,kalau ada warga cacat permanen meninggal akibat disuntik vaksin pejabat mana yang mau masuk penjara,kalau ada warga cacat permanen tinggal akibat suntik vaksin jabat mana yang mau masuk penjara
34,1/11/2021 19:47,b'RT @aLy_Bima: Di Todong Pakai Senjata Juga Gua Ogak Kalau Vaksin Dari China?\n\nhttps://t.co/NqHkgEjE9F',negatif,ditodong pakai senjata juga aku tidak mau kalau vaksin dari cina,todong pakai senjata juga aku tidak mau kalau vaksin dari cina
35,1/12/2021 5:39,b'RT @aLy_Bima: Mari Ramai-Ramai Kita Tolak Vaksin Sinovac..\n\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac\n.\nhttps://t.co/guHULlQTVb',negatif,mari ramai ramai kita tolak vaksin sinovac,mari ramai ramai kita tolak vaksin sinovac
36,1/12/2021 8:37,"b'RT @Amrizaldy511: Dokter aja gk mau di vaksin, apalagi rakyat, cebong aja vaksin tuu'",negatif,dokter saja tidak mau divaksin apalagi rakyat cebong saja vaksin,dokter saja tidak mau vaksin apalagi rakyat cebong saja vaksin
37,1/12/2021 17:05,"b'RT @ANDINI_MAHARAN1: lah ini, perlu diperiksa PENGADAAN VAKSIN COVID 19 itu, kenapa dipaksakan jika kualitasnya tdk baik'",negatif,ini perlu diperiksa pengadaan vaksin covid itu kenapa dipaksakan jika kualitasnya tidak baik,ini perlu periksa ada vaksin covid itu kenapa paksa jika kualitas tidak baik
38,1/11/2021 3:07,"b'RT @ANDINURPATI3: bukannya tanpa hasil uji klinis ( msh ditunggu), izin BPOM belum ada, tiba2 pemerintah sdh import vaksin dn lgs diedar ke masyarakat\xe2\x80\xa6'",negatif,bukannya tanpa hasil uji klinis dan masih ditunggu izin bpom belum ada tiba pemerintah sudah import vaksin dan langsung diedar ke masyarakat,bukan tanpa hasil uji klinis dan masih tunggu izin bpom belum ada tiba perintah sudah import vaksin dan langsung edar ke masyarakat
39,1/11/2021 22:19,"b'RT @Arazoors: @howudoingggt @rafiqi_28 mending elu vaksin gih, terus dm gw 1 bulan kemudian kalau lo masih sehat wkwk, bagaimana pun ini vaksin masih percobaan\xe2\x80\xa6'",negatif,mending kamu vaksin terus dm aku bulan kemudian kalau kamu masih sehat bagaimana pun ini vaksin masih percobaan,mending kamu vaksin terus dm aku bulan kemudian kalau kamu masih sehat bagaimana pun ini vaksin masih coba
40,1/11/2021 7:04,b'RT @ArtiAbuAbuHamza: Disuntik Vaksin = Uji Nyali\nButuh keberanian luar biasa\nCC\n@KeeNand__',negatif,disuntik vaksin uji nyali butuh keberanian luar biasa,suntik vaksin uji nyali butuh berani luar biasa
41,1/11/2021 7:47,"b'RT @arwidodo: dr. Tifauzia : Biar Ditodong Pistol Saya tidak Mau Divaksin Gunakan Sinovac, Saya Mau Vaksin Merah Putih \nhttps://t.co/jvWain\xe2\x80\xa6'",negatif,biar ditodong pistol saya tidak mau divaksin menggunakan sinovac saya mau vaksin merah putih saja,biar todong pistol saya tidak mau vaksin guna sinovac saya mau vaksin merah putih saja
42,1/11/2021 2:05,b'RT @Asjtn: jangan terlena dengan gaungan vaksin karena bukan obat instant covid',negatif,jangan terlena dengan gaungan vaksin karena bukan obat instant covid,jangan lena dengan gaung vaksin karena bukan obat instant covid
43,1/12/2021 0:13,b'RT @azzahra__31: Mending benahi dulu kadernya baru \nKomplain rakyat nya.....\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\nSay no for vaksin sinovac\n\n#TolakDivaksinSinovac \n#To\xe2\x80\xa6',negatif,mending benahi dulu kadernya baru komplain rakyatnya katakan tidak pada vaksin sinovac,mending benah dulu kader baru komplain rakyat kata tidak pada vaksin sinovac
44,1/12/2021 7:13,b'RT @bangagoengDua: Yang namanya ada efek samping itu ya kurang baik ndrooo...\n\nKecuali efek sampingnya mendadak jutawan \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e https://t.co/uh7\xe2\x80\xa6',negatif,yang namanya ada efek samping itu ya kurang baik kecuali efek sampingnya mendadak jutawan,yang nama ada efek samping itu ya kurang baik kecuali efek samping dadak jutawan
45,1/11/2021 12:45,b'RT @BankBTNcoid: Masih ragu dengan Vaksin,negatif,masih ragu dengan vaksin,masih ragu dengan vaksin
46,1/12/2021 16:35,b'RT @BatubaraArfan: Aku tak mw di vaksin\nKalo klen paksa kelahi pun jadi \nYa kan bang @nasution_lokot @Nicho_Silalahi @DonAdam68 @YanHarah\xe2\x80\xa6',negatif,aku tak mau divaksin kalo kalian paksa berkelahi pun jadi ya kan bang,aku tak mau vaksin kalo kalian paksa kelah pun jadi ya kan bang
47,1/12/2021 6:00,b'RT @bbygirlly_: buat apa vaksin kalau kemungkinan tertular masih ada 30% mending kita ttp pake masker resiko tertular cuma 3% haha #TolakDi\xe2\x80\xa6',negatif,buat apa vaksin kalau kemungkinan tertular masih ada mending kita tetap pakai masker resiko tertular cuma sedikit,buat apa vaksin kalau mungkin tular masih ada mending kita tetap pakai masker resiko tular cuma sedikit
48,1/11/2021 2:36,b'RT @Be3_i5__back: @ghe_tholl Negara asal vaksin aja beli dr luar.\nEh kitanya disuruh pake. Emak kita kelinci percobaan ??',negatif,negara asal vaksin saja beli dari luar kita disuruh pakai memangnya kita kelinci percobaan,negara asal vaksin saja beli dari luar kita suruh pakai memang kita kelinci coba
49,1/12/2021 23:27,"b'RT @beritaislamorg: Tolak Ikuti Jokowi Suntik Vaksin Covid-19, Ribka PDIP: Mending Gue Bayar Denda! https://t.co/WdYf8vNDph'",negatif,tolak ikuti jokowi suntik vaksin covid mending aku bayar denda,tolak ikut jokowi suntik vaksin covid mending aku bayar denda
50,1/12/2021 23:13,b'RT @BersihMakassar: Anggota DPR RI Ribka Ciptaning yang notabene seorang dokter saja tidak mau divaksin. Kata beliau vaksin Sinovac tak aman\xe2\x80\xa6',negatif,anggota dpr yang notabene seorang dokter saja tidak mau divaksin kata beliau vaksin sinovac tak aman,anggota dpr yang notabene orang dokter saja tidak mau vaksin kata beliau vaksin sinovac tak aman
51,1/11/2021 11:55,"b'RT @Bisniscom: Kemanjuran Vaksin Sinovac di Indonesia Rendah, Ini Kata Epidemiolog https://t.co/r5HKonyXFl'",negatif,kemanjuran vaksin sinovac di indonesia rendah ini kata epidemiolog,manjur vaksin sinovac di indonesia rendah ini kata epidemiolog
52,1/11/2021 9:45,b'RT @Bobby80810: @OposisiCerdas Mosok dokter hrs mensosialisasikan vaksin yg efektivitasnya blm teruji. Berarti menyalahi sumpah jabatan dok\xe2\x80\xa6',negatif,masa dokter harus mensosialisasikan vaksin yang efektivitasnya belum teruji berarti menyalahi sumpah jabatan,masa dokter harus sosialisasi vaksin yang efektivitas belum uji arti salah sumpah jabat
53,1/12/2021 10:28,"b'RT @bolangwebberII: @JohannesAS2 @republikaonline makanye ngab sblm di distribusikan vaksin harus lolos uji dulu,ini blm apa2 dah distribusi\xe2\x80\xa6'",negatif,makanya bang sebelum didistribusikan vaksin harus lolos uji dulu ini belum apa sudah distribusi,makanya bang belum distribusi vaksin harus lolos uji dulu ini belum apa sudah distribusi
54,1/12/2021 6:11,b'RT @BuchroniK: @idtodayco Bisa-bisa rakyat Indonesia yang di vaksin sinovac akan mati karena muntaber.. waspadalah!',negatif,bisa bisa rakyat indonesia yang divaksin sinovac akan mati karena muntaber waspadalah,bisa bisa rakyat indonesia yang vaksin sinovac akan mati karena muntaber waspada
55,1/12/2021 10:47,b'RT @budiwidagdo2: @maspiyu5 Tidak mau dikasih vaksin sinovac bukan tidak mau di vaksin..',negatif,tidak mau dikasih vaksin sinovac bukan tidak mau divaksin,tidak mau kasih vaksin sinovac bukan tidak mau vaksin
56,1/11/2021 13:11,"b'RT @Bun_Eddey___74: dr. Tifauzia : Biar Ditodong Pistol Saya tidak Mau Divaksin Gunakan Sinovac, Saya Mau Vaksin Merah Putih. TITIK...!!!\xe2\x80\xa6'",negatif,biar ditodong pistol saya tidak mau divaksin menggunakan sinovac saya mau vaksin merah putih titik,biar todong pistol saya tidak mau vaksin guna sinovac saya mau vaksin merah putih titik
57,1/12/2021 9:31,"b'RT @Cahyoyok1: kalo ada reaksi (bnyk) masyarakat yg menolak, besar kemungkinan ada yg ""salah"" dlm proses uji kelayakan vaksin cina ini...'",negatif,kalau ada reaksi banyak masyarakat yang menolak besar kemungkinan ada yang salah dalam proses uji kelayakan vaksin cina ini,kalau ada reaksi banyak masyarakat yang tolak besar mungkin ada yang salah dalam proses uji layak vaksin cina ini
58,1/12/2021 10:41,b'RT @cantik_tara: @bow_manarcher China sdri gak pake vaksin sinovac......\n\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac',negatif,cina sendiri tidak pakai vaksin sinovac,cina sendiri tidak pakai vaksin sinovac
59,1/12/2021 0:52,b'RT @cantik_tara: @MasKris_A Nakes sj mragukan vaksin sinovac..... wajar dooong jk gak mau dvaksin\n\n#TolakDivaksinSinovac \n#TolakDivaksinSino\xe2\x80\xa6',negatif,tenaga kesehatan saja meragukan vaksin sinovac wajar dong jika tidak mau divaksin,tenaga sehat saja ragu vaksin sinovac wajar dong jika tidak mau vaksin
60,1/12/2021 13:31,b'RT @cantik_tara: @Mulya_Channel Cr keadilan tmsk ogah di vaksin\n\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac',negatif,cari keadilan termasuk tidak mau divaksin,cari adil masuk tidak mau vaksin
61,1/12/2021 0:15,b'RT @cantik_tara: Apakah kita mau mengorbankan kluarga kita utk menerima vaksin yg masih dragukan oleh nakes sdri......\n\n#TolakDivaksinSinov\xe2\x80\xa6',negatif,apakah kita mau mengorbankan keluarga kita untuk menerima vaksin yang masih diragukan oleh tenaga kesehatan sendiri,apakah kita mau korban keluarga kita untuk terima vaksin yang masih ragu oleh tenaga sehat sendiri
62,1/12/2021 0:15,b'RT @cantik_tara: Belum jelasnya soal proses uji klinis vaksin jg sgt bpengaruh.......\n\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac',negatif,belum jelasnya soal proses uji klinis vaksin juga sangat berpengaruh,belum jelas soal proses uji klinis vaksin juga sangat pengaruh
63,1/12/2021 0:15,b'RT @cantik_tara: Belum lg.... apakah vaksin tsb halal  \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac',negatif,belum lagi apakah vaksin tersebut benar halal,belum lagi apakah vaksin sebut benar halal
64,1/12/2021 0:15,b'RT @cantik_tara: Juga belum selesainya uji klinis vaksin sinovac di Bandung \n\n#TolakDivaksinSinovac\n#TolakDivaksinSinovac',negatif,juga belum selesainya uji klinis vaksin sinovac di bandung,juga belum selesai uji klinis vaksin sinovac di bandung
65,1/12/2021 0:16,b'RT @cantik_tara: Mari kita bpikir scr sehat utk mnolak vaksin sinovac yg msh diragukan khasiatnya bg imunitas tubuh kita.....\n\n#TolakDivaks\xe2\x80\xa6',negatif,mari kita berpikir secara sehat untuk menolak vaksin sinovac yang masih diragukan khasiatnya bagi imunitas tubuh kita,mari kita pikir cara sehat untuk tolak vaksin sinovac yang masih ragu khasiat bagi imunitas tubuh kita
66,1/12/2021 0:15,b'RT @cantik_tara: Naaahhhh sbg masyarakat awam...... pastilah lbh meragukan bahkan menolak vaksin tsb krn tdk 100% tenaga medis pcaya dg vaksin tersebut\xe2\x80\xa6',negatif,nah sebagai masyarakat awam pastilah lebih meragukan bahkan menolak vaksin tersebut karena tenaga medis tidak percaya dengan vaksin tersebut,nah bagai masyarakat awam pasti lebih ragu bahkan tolak vaksin sebut karena tenaga medis tidak percaya dengan vaksin sebut
67,1/12/2021 0:15,b'RT @cantik_tara: Selain itu nakes pesimis soal efektivitas vaksin tsb.\n\n#TolakDivaksinSinovac \n#TolakDivaksinSinovac',negatif,selain itu tenaga kesehatan pesimis soal efektivitas vaksin tersebut,selain itu tenaga sehat pesimis soal efektivitas vaksin sebut
68,1/12/2021 0:11,"b'RT @cantik_tara: Skrg..... dengar vaksin sinovac, justru menimbulkan rasa was2 n cenderung utk menolaknya'",negatif,sekarang dengar vaksin sinovac justru menimbulkan rasa was dan cenderung untuk menolaknya,sekarang dengar vaksin sinovac justru timbul rasa was dan cenderung untuk tolak
69,1/12/2021 0:15,b'RT @cantik_tara: Tenaga kesehatan yg mnolak dsebabkan krn mrk sendiri tdk yakin dg keamanan vaksin sinovac\n\n#TolakDivaksinSinovac\n#TolakDiv\xe2\x80\xa6',negatif,tenaga kesehatan yang menolak disebabkan karena mereka sendiri tidak yakin dengan keamanan vaksin sinovac,tenaga sehat yang tolak sebab karena mereka sendiri tidak yakin dengan aman vaksin sinovac
70,1/11/2021 23:45,"b'RT @cholilnafis: Yg penting bukan dukun aja yg lebih ampuh. He hehe.  Herbal ya masih masuk akal juga, namanya juga upaya. Tapi vaksin ini masih dipertanyakan\xe2\x80\xa6'",negatif,yang penting bukan dukun saja yang lebih ampuh herbal masih masuk akal juga namanya juga upaya tapi vaksin ini masih dipertanyakan,yang penting bukan dukun saja yang lebih ampuh herbal masih masuk akal juga nama juga upaya tapi vaksin ini masih tanya
71,1/12/2021 0:13,"b'RT @Cobeh09: Saya Tidak Mengizinkan Siapapun Juga,\nWalau Dgn Todongan Pistol Sekalipun,\nWalau Dgn Ancaman Saya Dipecat Sekalipun,Walau Dgn Ancaman Denda Sekalipun, Walau Dgn Ancaman Pidana Sekalipun, Untuk Menyuntikkan Vaksin Corona, sELAIN VAKSIN MERAH PUTIH'",negatif,saya tidak mengizinkan siapapun juga walau dengan todongan pistol sekalipun walau dengan ancaman saya dipecat sekalipun walau dengan ancaman denda sekalipun walau dengan ancaman pidana sekalipun untuk menyuntikkan vaksin corona selain vaksin merah putih,saya tidak izin siapa juga walau dengan todong pistol sekalipun walau dengan ancam saya pecat sekalipun walau dengan ancam denda sekalipun walau dengan ancam pidana sekalipun untuk suntik vaksin corona selain vaksin merah putih
72,1/12/2021 1:44,b'RT @dapitnih: Gue ga nolak Vaksin. Gue nolak Sinovac boleh?',negatif,aku tidak menolak vaksin aku menolak sinovac boleh,aku tidak tolak vaksin aku tolak sinovac boleh
73,1/12/2021 8:59,"b'RT @david_genious: Janjinya vaksin merah putih, Tapi kok jadi vaksin Palu arit??? \n\n#TolakDivaksinSinovac \n#TolakDivaksinSinovac https://t.\xe2\x80\xa6'",negatif,janjinya vaksin merah putih tapi kok jadi vaksin palu arit,janji vaksin merah putih tapi kok jadi vaksin palu arit
74,1/12/2021 10:04,b'RT @demokrasicoid: Tolak Ikuti Jokowi Suntik Vaksin Covid-19 Mending Gue Bayar Denda! - Follow @demokrasicoid  https://t.co/LB\xe2\x80\xa6',negatif,tolak ikuti jokowi suntik vaksin covid mending aku bayar denda,tolak ikut jokowi suntik vaksin covid mending aku bayar denda
75,1/12/2021 9:47,"b'RT @devietalubis: *vaksin gak wajib dan jika ada negara yg mewajibkannya, maka pemimpin itu nyata otoriter keblingerr.*\n\nhttps://t.co/zpN9t\xe2\x80\xa6'",negatif,vaksin tidak wajib dan jika ada negara yang mewajibkannya maka pemimpin itu nyata otoriter,vaksin tidak wajib dan jika ada negara yang wajib maka pimpin itu nyata otoriter
76,1/12/2021 13:36,b'RT @DewiePramesty03: @jericho_792 Sebelum di vaksin krn saking takutnya malah mati duluan.\nAle2 mau cegah covid yg ada malah struk mendadak\xe2\x80\xa6',negatif,sebelum divaksin karena saking takutnya malah mati dahulu alih alih mau cegah covid yang ada malah stroke mendadak,belum vaksin karena saking takut malah mati dahulu alih alih mau cegah covid yang ada malah stroke dadak
77,1/12/2021 11:18,"b'RT @diponegros: Masalahnya adalah kalau ada vaksin yg lbh baik dari sinovac, kenapa rakyat hrs dijejali oleh vaksin dg kualitas rendah sino\xe2\x80\xa6'",negatif,masalahnya adalah kalau ada vaksin yang lebih baik dari sinovac kenapa rakyat harus dijejali oleh vaksin dengan kualitas rendah sinovac,masalah adalah kalau ada vaksin yang lebih baik dari sinovac kenapa rakyat harus jejal oleh vaksin dengan kualitas rendah sinovac
78,1/11/2021 3:54,b'RT @Dito_M17081945: @DiantyYasmin3 @Aalembur Sebagian nakes di jabar aja nolak vaksin ?\n\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb',negatif,sebagian tenaga kesehatan di jawa barat saja menolak vaksin,bagi tenaga sehat di jawa barat saja tolak vaksin
